代码,名称,alphafeed_symbol
002360,ST同德,002360.SZ
002361,神剑股份,002361.SZ
002362,汉王科技,002362.SZ
002363,隆基机械,002363.SZ
002364,中恒电气,002364.SZ
002365,永安药业,002365.SZ
002366,融发核电,002366.SZ
002367,康力电梯,002367.SZ
002368,太极股份,002368.SZ
002369,卓翼科技,002369.SZ
002370,亚太药业,002370.SZ
002371,北方华创,002371.SZ
002372,伟星新材,002372.SZ
002373,千方科技,002373.SZ
002374,中锐股份,002374.SZ
002375,亚厦股份,002375.SZ
002376,新北洋,002376.SZ
002377,国创高新,002377.SZ
002378,章源钨业,002378.SZ
002379,宏桥控股,002379.SZ
002380,科远智慧,002380.SZ
002381,双箭股份,002381.SZ
002382,蓝帆医疗,002382.SZ
002383,合众思壮,002383.SZ
002384,东山精密,002384.SZ
002385,大北农,002385.SZ
002386,天原股份,002386.SZ
002387,维信诺,002387.SZ
002388,新亚制程,002388.SZ
002389,航天彩虹,002389.SZ
002390,信邦制药,002390.SZ
002391,长青股份,002391.SZ
002392,北京利尔,002392.SZ
002393,力生制药,002393.SZ
002394,联发股份,002394.SZ
002395,双象股份,002395.SZ
002396,星网锐捷,002396.SZ
002397,梦洁股份,002397.SZ
002398,垒知集团,002398.SZ
002399,海普瑞,002399.SZ
002400,省广集团,002400.SZ
002401,中远海科,002401.SZ
002402,和而泰,002402.SZ
002403,爱仕达,002403.SZ
002404,嘉欣丝绸,002404.SZ
002405,四维图新,002405.SZ
002406,远东传动,002406.SZ
002407,多氟多,002407.SZ
002408,齐翔腾达,002408.SZ
002409,雅克科技,002409.SZ
002410,广联达,002410.SZ
002412,汉森制药,002412.SZ
002413,雷科防务,002413.SZ
002414,高德红外,002414.SZ
002415,海康威视,002415.SZ
002416,爱施德,002416.SZ
002418,康盛股份,002418.SZ
002419,天虹股份,002419.SZ
002420,毅昌科技,002420.SZ
002421,达实智能,002421.SZ
002422,科伦药业,002422.SZ
002423,中粮资本,002423.SZ
002424,ST百灵,002424.SZ
002425,凯撒文化,002425.SZ
002426,胜利精密,002426.SZ
002427,尤夫股份,002427.SZ
002428,云南锗业,002428.SZ
002429,兆驰股份,002429.SZ
002430,杭氧股份,002430.SZ
002431,ST棕榈,002431.SZ
002432,九安医疗,002432.SZ
002434,万里扬,002434.SZ
002436,兴森科技,002436.SZ
002437,誉衡药业,002437.SZ
002438,江苏神通,002438.SZ
002439,启明星辰,002439.SZ
002440,闰土股份,002440.SZ
002441,众业达,002441.SZ
002442,龙星科技,002442.SZ
002443,金洲管道,002443.SZ
002444,巨星科技,002444.SZ
002445,中南文化,002445.SZ
002446,盛路通信,002446.SZ
002448,中原内配,002448.SZ
002449,国星光电,002449.SZ
002451,摩恩电气,002451.SZ
002452,长高电气,002452.SZ
002453,华软科技,002453.SZ
002454,松芝股份,002454.SZ
002455,百川股份,002455.SZ
002456,欧菲光,002456.SZ
002457,青龙管业,002457.SZ
002458,益生股份,002458.SZ
002459,晶澳科技,002459.SZ
002460,赣锋锂业,002460.SZ
002461,珠江啤酒,002461.SZ
002462,嘉事堂,002462.SZ
002463,沪电股份,002463.SZ
002465,海格通信,002465.SZ
002466,天齐锂业,002466.SZ
002467,二六三,002467.SZ
002468,申通快递,002468.SZ
002469,三维化学,002469.SZ
002470,金正大,002470.SZ
002471,中超控股,002471.SZ
002472,双环传动,002472.SZ
002474,榕基软件,002474.SZ
002475,立讯精密,002475.SZ
002476,新叶股份,002476.SZ
002478,常宝股份,002478.SZ
002479,富春环保,002479.SZ
002480,新筑股份,002480.SZ
002481,双塔食品,002481.SZ
002482,广田集团,002482.SZ
002483,润邦股份,002483.SZ
002484,江海股份,002484.SZ
002485,ST雪发,002485.SZ
002486,嘉麟杰,002486.SZ
002487,大金重工,002487.SZ
002488,金固股份,002488.SZ
002489,浙江永强,002489.SZ
002490,山东墨龙,002490.SZ
002491,通鼎互联,002491.SZ
002492,恒基达鑫,002492.SZ
002493,荣盛石化,002493.SZ
002494,华斯股份,002494.SZ
002495,佳隆股份,002495.SZ
002496,辉丰股份,002496.SZ
002497,雅化集团,002497.SZ
002498,汉缆股份,002498.SZ
002500,山西证券,002500.SZ
002501,*ST利源,002501.SZ
002506,协鑫集成,002506.SZ
002507,涪陵榨菜,002507.SZ
002508,老板电器,002508.SZ
002510,天汽模,002510.SZ
002511,中顺洁柔,002511.SZ
002512,ST达华,002512.SZ
002513,蓝丰生化,002513.SZ
002514,*ST宝馨,002514.SZ
002515,金字火腿,002515.SZ
002516,旷达科技,002516.SZ
002517,恺英网络,002517.SZ
002518,科士达,002518.SZ
002519,银河电子,002519.SZ
002520,日发精机,002520.SZ
002521,齐峰新材,002521.SZ
002522,浙江众成,002522.SZ
002523,天桥起重,002523.SZ
002524,光正眼科,002524.SZ
002526,山东矿机,002526.SZ
002527,新时达,002527.SZ
002528,*ST英飞,002528.SZ
002529,海源复材,002529.SZ
002530,金财互联,002530.SZ
002531,天顺风能,002531.SZ
002532,天山铝业,002532.SZ
002533,金杯电工,002533.SZ
002534,西子洁能,002534.SZ
002535,林州重机,002535.SZ
002536,飞龙股份,002536.SZ
002537,海联金汇,002537.SZ
002538,ST司特,002538.SZ
002539,云图控股,002539.SZ
002540,亚太科技,002540.SZ
002541,鸿路钢构,002541.SZ
002542,*ST中岩,002542.SZ
002543,万和电气,002543.SZ
002544,普天科技,002544.SZ
002545,东方铁塔,002545.SZ
002546,新联电子,002546.SZ
002547,*ST春兴,002547.SZ
002548,金新农,002548.SZ
002549,凯美特气,002549.SZ
002550,千红制药,002550.SZ
002551,尚荣医疗,002551.SZ
002552,宝鼎科技,002552.SZ
002553,南方精工,002553.SZ
002554,惠博普,002554.SZ
002555,三七互娱,002555.SZ
002556,辉隆股份,002556.SZ
002557,洽洽食品,002557.SZ
002558,巨人网络,002558.SZ
002559,亚威股份,002559.SZ
002560,通达股份,002560.SZ
002561,徐家汇,002561.SZ
002562,兄弟科技,002562.SZ
002563,森马服饰,002563.SZ
002564,天沃科技,002564.SZ
002565,顺灏股份,002565.SZ
002566,益盛药业,002566.SZ
002567,唐人神,002567.SZ
002568,百润股份,002568.SZ
002569,*ST步森,002569.SZ
002570,贝因美,002570.SZ
002571,德力股份,002571.SZ
002572,索菲亚,002572.SZ
002573,清新环境,002573.SZ
002574,明牌珠宝,002574.SZ
002575,群兴玩具,002575.SZ
002576,通达动力,002576.SZ
002577,雷柏科技,002577.SZ
002578,闽发铝业,002578.SZ
002579,中京电子,002579.SZ
002580,圣阳股份,002580.SZ
002581,*ST未名,002581.SZ
002582,好想你,002582.SZ
002583,海能达,002583.SZ
002584,西陇科学,002584.SZ
002585,双星新材,002585.SZ
002586,ST围海,002586.SZ
002587,奥拓电子,002587.SZ
002588,史丹利,002588.SZ
002589,瑞康医药,002589.SZ
002590,万安科技,002590.SZ
002591,恒大高新,002591.SZ
002592,ST八菱,002592.SZ
002593,日上集团,002593.SZ
002594,比亚迪,002594.SZ
002595,豪迈科技,002595.SZ
002596,海南瑞泽,002596.SZ
002597,金禾实业,002597.SZ
002598,ST章鼓,002598.SZ
002599,盛通股份,002599.SZ
002600,领益智造,002600.SZ
002601,龙佰集团,002601.SZ
002602,世纪华通,002602.SZ
002603,以岭药业,002603.SZ
002605,姚记科技,002605.SZ
002606,大连电瓷,002606.SZ
002607,中公教育,002607.SZ
002608,江苏国信,002608.SZ
002609,捷顺科技,002609.SZ
002611,东方精工,002611.SZ
002612,朗姿股份,002612.SZ
002613,北玻股份,002613.SZ
002614,奥佳华,002614.SZ
002615,哈尔斯,002615.SZ
002616,长青集团,002616.SZ
002617,露笑科技,002617.SZ
002620,*ST瑞和,002620.SZ
002622,皓宸医疗,002622.SZ
002623,亚玛顿,002623.SZ
002624,完美世界,002624.SZ
002625,光启技术,002625.SZ
002626,金达威,002626.SZ
002627,三峡旅游,002627.SZ
002628,成都路桥,002628.SZ
002629,仁智股份,002629.SZ
002630,*ST华西,002630.SZ
002631,德尔未来,002631.SZ
002632,道明光学,002632.SZ
002633,申科股份,002633.SZ
002634,*ST棒杰,002634.SZ
002635,安洁科技,002635.SZ
002636,金安国纪,002636.SZ
002637,赞宇科技,002637.SZ
002638,勤上股份,002638.SZ
002639,雪人集团,002639.SZ
002640,跨境通,002640.SZ
002641,公元股份,002641.SZ
002642,荣联科技,002642.SZ
002643,万润股份,002643.SZ
002644,佛慈制药,002644.SZ
002645,华宏科技,002645.SZ
002646,天佑德酒,002646.SZ
002647,仁东控股,002647.SZ
002648,卫星化学,002648.SZ
002649,博彦科技,002649.SZ
002650,ST加加,002650.SZ
002651,利君股份,002651.SZ
002652,扬子新材,002652.SZ
002653,海思科,002653.SZ
002654,万润科技,002654.SZ
002655,共达电声,002655.SZ
002656,摩登大道,002656.SZ
002657,中科金财,002657.SZ
002658,雪迪龙,002658.SZ
002659,凯文教育,002659.SZ
002660,茂硕电源,002660.SZ
002661,克明食品,002661.SZ
002662,峰璟股份,002662.SZ
002663,普邦股份,002663.SZ
002664,信质集团,002664.SZ
002666,德联集团,002666.SZ
002667,*ST威领,002667.SZ
002668,TCL智家,002668.SZ
002669,康达新材,002669.SZ
002670,国盛证券,002670.SZ
002671,龙泉股份,002671.SZ
002672,东江环保,002672.SZ
002673,西部证券,002673.SZ
002674,兴业科技,002674.SZ
002675,东诚药业,002675.SZ
002676,顺威股份,002676.SZ
002677,浙江美大,002677.SZ
002678,珠江钢琴,002678.SZ
002679,福建金森,002679.SZ
002681,奋达科技,002681.SZ
002682,龙洲股份,002682.SZ
002683,广东宏大,002683.SZ
002685,华东重机,002685.SZ
002686,亿利达,002686.SZ
002687,乔治白,002687.SZ
002688,金河生物,002688.SZ
002689,ST远智,002689.SZ
002690,美亚光电,002690.SZ
002691,*ST冀凯,002691.SZ
002692,远程股份,002692.SZ
002693,双成药业,002693.SZ
002694,*ST顾地,002694.SZ
002695,煌上煌,002695.SZ
002696,百洋股份,002696.SZ
002697,红旗连锁,002697.SZ
002698,博实股份,002698.SZ
002700,万憬能源,002700.SZ
002701,奥瑞金,002701.SZ
002702,海欣食品,002702.SZ
002703,浙江世宝,002703.SZ
002705,新宝股份,002705.SZ
002706,良信股份,002706.SZ
002707,众信旅游,002707.SZ
002708,光洋股份,002708.SZ
002709,天赐材料,002709.SZ
002712,思美传媒,002712.SZ
002713,东易日盛,002713.SZ
002714,牧原股份,002714.SZ
002715,登云股份,002715.SZ
002716,湖南白银,002716.SZ
002717,*ST岭南,002717.SZ
002718,友邦吊顶,002718.SZ
002719,ST麦趣,002719.SZ
002721,金一文化,002721.SZ
002722,物产金轮,002722.SZ
002723,小崧股份,002723.SZ
002724,海洋王,002724.SZ
002725,跃岭股份,002725.SZ
002726,ST龙大,002726.SZ
002727,一心堂,002727.SZ
002728,特一药业,002728.SZ
002729,好利科技,002729.SZ
002730,电光科技,002730.SZ
002731,*ST萃华,002731.SZ
002732,燕塘乳业,002732.SZ
002733,雄韬股份,002733.SZ
002734,利民股份,002734.SZ
002735,王子新材,002735.SZ
002736,国信证券,002736.SZ
002737,葵花药业,002737.SZ
002738,中矿资源,002738.SZ
002739,儒意电影,002739.SZ
002741,光华科技,002741.SZ
002742,冀衡医药,002742.SZ
002743,富煌钢构,002743.SZ
002745,木林森,002745.SZ
002746,仙坛股份,002746.SZ
002747,埃斯顿,002747.SZ
002748,世龙实业,002748.SZ
002749,国光股份,002749.SZ
002752,昇兴股份,002752.SZ
002753,永东股份,002753.SZ
002755,奥赛康,002755.SZ
002756,永兴材料,002756.SZ
002757,南兴股份,002757.SZ
002758,浙农股份,002758.SZ
002759,ST天际,002759.SZ
002760,凤形股份,002760.SZ
002761,浙江建投,002761.SZ
002762,金发拉比,002762.SZ
002763,汇洁股份,002763.SZ
002765,蓝黛科技,002765.SZ
002766,索菱股份,002766.SZ
002767,先锋电子,002767.SZ
002768,国恩股份,002768.SZ
002769,普路通,002769.SZ
002771,真视通,002771.SZ
002772,众兴菌业,002772.SZ
002773,康弘药业,002773.SZ
002774,快意电梯,002774.SZ
002775,文科股份,002775.SZ
002777,久远银海,002777.SZ
002778,中晟高科,002778.SZ
002779,中坚科技,002779.SZ
002780,三夫户外,002780.SZ
002782,可立克,002782.SZ
002783,凯龙股份,002783.SZ
002785,万里石,002785.SZ
002786,银宝山新,002786.SZ
002787,华源控股,002787.SZ
002788,鹭燕医药,002788.SZ
002789,*ST建艺,002789.SZ
002790,瑞尔特,002790.SZ
002791,坚朗五金,002791.SZ
002792,通宇通讯,002792.SZ
002793,罗欣药业,002793.SZ
002795,永和智控,002795.SZ
002796,世嘉科技,002796.SZ
002797,第一创业,002797.SZ
002798,帝欧水华,002798.SZ
002799,环球印务,002799.SZ
002800,天顺股份,002800.SZ
002801,微光股份,002801.SZ
002802,洪汇新材,002802.SZ
002803,吉宏股份,002803.SZ
002805,丰元股份,002805.SZ
002806,华锋股份,002806.SZ
002807,江阴银行,002807.SZ
002809,红墙股份,002809.SZ
002810,山东赫达,002810.SZ
002811,郑中设计,002811.SZ
002812,恩捷股份,002812.SZ
002813,路畅科技,002813.SZ
002815,崇达技术,002815.SZ
002816,*ST和科,002816.SZ
002817,黄山胶囊,002817.SZ
002818,富森美,002818.SZ
002819,东方中科,002819.SZ
002820,桂发祥,002820.SZ
002821,凯莱英,002821.SZ
002822,ST中装,002822.SZ
002823,凯中精密,002823.SZ
002824,和胜股份,002824.SZ
002825,纳尔股份,002825.SZ
002826,易明医药,002826.SZ
002827,高争民爆,002827.SZ
002828,贝肯能源,002828.SZ
002829,星网宇达,002829.SZ
002830,名雕股份,002830.SZ
002831,裕同科技,002831.SZ
002832,比音勒芬,002832.SZ
002833,弘亚数控,002833.SZ
002835,同为股份,002835.SZ
002836,新宏泽,002836.SZ
002837,英维克,002837.SZ
002838,道恩股份,002838.SZ
002839,张家港行,002839.SZ
002840,华统股份,002840.SZ
002841,视源股份,002841.SZ
002842,翔鹭钨业,002842.SZ
002843,泰嘉股份,002843.SZ
002845,同兴达,002845.SZ
002846,英联股份,002846.SZ
002847,盐津铺子,002847.SZ
002848,高斯贝尔,002848.SZ
002849,威星智能,002849.SZ
002850,科达利,002850.SZ
002851,麦格米特,002851.SZ
002852,道道全,002852.SZ
002853,皮阿诺,002853.SZ
002855,捷荣技术,002855.SZ
002856,*ST美芝,002856.SZ
002857,三晖电气,002857.SZ
002858,力盛体育,002858.SZ
002859,洁美科技,002859.SZ
002860,星帅尔,002860.SZ
002861,瀛通通讯,002861.SZ
002862,实丰文化,002862.SZ
002863,今飞凯达,002863.SZ
002864,盘龙药业,002864.SZ
002865,钧达股份,002865.SZ
002866,传艺科技,002866.SZ
002867,周大生,002867.SZ
002868,绿康生化,002868.SZ
002869,金溢科技,002869.SZ
002870,香山股份,002870.SZ
002871,伟隆股份,002871.SZ
002872,ST天圣,002872.SZ
002873,新天药业,002873.SZ
002875,安奈儿,002875.SZ
002876,三利谱,002876.SZ
002877,智能自控,002877.SZ
002878,元隆雅图,002878.SZ
002879,长缆科技,002879.SZ
002880,卫光生物,002880.SZ
002881,美格智能,002881.SZ
002882,金龙羽,002882.SZ
002883,*ST中设,002883.SZ
002884,凌霄泵业,002884.SZ
002885,京泉华,002885.SZ
002886,沃特股份,002886.SZ
002887,绿茵生态,002887.SZ
002888,惠威科技,002888.SZ
002889,东方嘉盛,002889.SZ
002890,弘宇股份,002890.SZ
002891,中宠股份,002891.SZ
002892,科力尔,002892.SZ
002893,京能热力,002893.SZ
002895,川恒股份,002895.SZ
002896,中大力德,002896.SZ
002897,意华股份,002897.SZ
002899,英派斯,002899.SZ
002900,哈三联,002900.SZ
002901,大博医疗,002901.SZ
002902,铭普光磁,002902.SZ
002903,宇环数控,002903.SZ
002905,金逸影视,002905.SZ
002906,华阳集团,002906.SZ
002907,华森制药,002907.SZ
002908,德生科技,002908.SZ
002909,集泰股份,002909.SZ
002910,庄园牧场,002910.SZ
002911,佛燃能源,002911.SZ
002912,中新赛克,002912.SZ
002913,奥士康,002913.SZ
002915,中欣氟材,002915.SZ
002916,深南电路,002916.SZ
002917,金奥博,002917.SZ
002918,蒙娜丽莎,002918.SZ
002919,名臣健康,002919.SZ
002920,德赛西威,002920.SZ
002921,联诚精密,002921.SZ
002922,伊戈尔,002922.SZ
002923,润都股份,002923.SZ
002925,盈趣科技,002925.SZ
002926,华西证券,002926.SZ
002927,泰永长征,002927.SZ
002928,华夏航空,002928.SZ
002929,润建股份,002929.SZ
002930,宏川智慧,002930.SZ
002931,锋龙股份,002931.SZ
002932,*ST明德,002932.SZ
002933,新兴装备,002933.SZ
002935,天奥电子,002935.SZ
002936,郑州银行,002936.SZ
002937,兴瑞科技,002937.SZ
002938,鹏鼎控股,002938.SZ
002939,长城证券,002939.SZ
002940,昂利康,002940.SZ
002941,新疆交建,002941.SZ
002942,新农股份,002942.SZ
002943,宇晶股份,002943.SZ
002945,华林证券,002945.SZ
002946,新乳业,002946.SZ
002947,恒铭达,002947.SZ
002948,青岛银行,002948.SZ
002949,华阳国际,002949.SZ
002950,奥美医疗,002950.SZ
002951,金时科技,002951.SZ
002952,亚世光电,002952.SZ
002953,日丰股份,002953.SZ
002955,鸿合科技,002955.SZ
002956,西麦食品,002956.SZ
002957,科瑞技术,002957.SZ
002958,青农商行,002958.SZ
002959,小熊电器,002959.SZ
002960,青鸟智控,002960.SZ
002961,瑞达期货,002961.SZ
002962,五方光电,002962.SZ
002963,豪尔赛,002963.SZ
002965,祥鑫科技,002965.SZ
002966,苏州银行,002966.SZ
002967,广电计量,002967.SZ
002968,新大正,002968.SZ
002969,嘉美包装,002969.SZ
002970,锐明技术,002970.SZ
002971,和远气体,002971.SZ
002972,科安达,002972.SZ
002973,侨银股份,002973.SZ
002975,博杰股份,002975.SZ
002976,瑞玛精密,002976.SZ
002977,*ST天箭,002977.SZ
002978,安宁股份,002978.SZ
002979,雷赛智能,002979.SZ
002980,华盛昌,002980.SZ
002981,朝阳科技,002981.SZ
002982,湘佳股份,002982.SZ
002983,芯瑞达,002983.SZ
002984,森麒麟,002984.SZ
002985,北摩高科,002985.SZ
002986,宇新股份,002986.SZ
002987,京北方,002987.SZ
002988,豪美新材,002988.SZ
002989,中天精装,002989.SZ
002990,盛视科技,002990.SZ
002991,甘源食品,002991.SZ
002992,宝明科技,002992.SZ
002993,奥海科技,002993.SZ
002995,天地在线,002995.SZ
002996,顺博合金,002996.SZ
002997,瑞鹄模具,002997.SZ
002998,优彩资源,002998.SZ
002999,天禾股份,002999.SZ
003000,劲仔食品,003000.SZ
003001,中岩大地,003001.SZ
003002,壶化股份,003002.SZ
003003,天元股份,003003.SZ
003004,声迅股份,003004.SZ
003005,竞业达,003005.SZ
003006,百亚股份,003006.SZ
003007,直真科技,003007.SZ
003008,开普检测,003008.SZ
003009,中天火箭,003009.SZ
003010,若羽臣,003010.SZ
003011,海象新材,003011.SZ
003012,东鹏控股,003012.SZ
003013,地铁设计,003013.SZ
003015,日久光电,003015.SZ
003016,欣贺股份,003016.SZ
003017,大洋生物,003017.SZ
003018,金富科技,003018.SZ
003019,宸展光电,003019.SZ
003020,立方制药,003020.SZ
003021,兆威机电,003021.SZ
003022,联泓新科,003022.SZ
003023,彩虹集团,003023.SZ
003025,思进智能,003025.SZ
003026,中晶科技,003026.SZ
003027,同兴科技,003027.SZ
003028,振邦智能,003028.SZ
003029,吉大正元,003029.SZ
003030,祖名股份,003030.SZ
003031,中瓷电子,003031.SZ
003032,传智教育,003032.SZ
003033,征和工业,003033.SZ
003035,南网能源,003035.SZ
003036,泰坦股份,003036.SZ
003037,三和管桩,003037.SZ
003038,鑫铂股份,003038.SZ
003039,顺控发展,003039.SZ
003040,楚天龙,003040.SZ
003041,真爱美家,003041.SZ
003042,中农联合,003042.SZ
003043,华亚智能,003043.SZ
003816,中国广核,003816.SZ
300001,特锐德,300001.SZ
300002,神州泰岳,300002.SZ
300003,乐普医疗,300003.SZ
300004,南风股份,300004.SZ
300005,探路者,300005.SZ
300006,莱美药业,300006.SZ
300007,汉威科技,300007.SZ
300008,天海防务,300008.SZ
300009,安科生物,300009.SZ
300010,ST豆神,300010.SZ
300011,鼎汉技术,300011.SZ
300012,华测检测,300012.SZ
300013,新宁物流,300013.SZ
300014,亿纬锂能,300014.SZ
300015,爱尔眼科,300015.SZ
300016,北陆药业,300016.SZ
300017,网宿科技,300017.SZ
300018,中元股份,300018.SZ
300019,硅宝科技,300019.SZ
300020,ST银江,300020.SZ
300021,大禹节水,300021.SZ
300022,吉峰科技,300022.SZ
300024,机器人,300024.SZ
300025,华星创业,300025.SZ
300026,红日药业,300026.SZ
300027,ST华谊,300027.SZ
300030,阳普医疗,300030.SZ
300031,宝通科技,300031.SZ
300032,金龙机电,300032.SZ
300033,同花顺,300033.SZ
300034,钢研高纳,300034.SZ
300035,中科电气,300035.SZ
300036,超图软件,300036.SZ
300037,新宙邦,300037.SZ
300039,上海凯宝,300039.SZ
300040,九洲集团,300040.SZ
300041,回天新材,300041.SZ
300042,朗科科技,300042.SZ
300043,星辉娱乐,300043.SZ
300044,*ST赛为,300044.SZ
300045,华力创通,300045.SZ
300046,台基股份,300046.SZ
300047,天源迪科,300047.SZ
300048,合康新能,300048.SZ
300049,福瑞医科,300049.SZ
300050,世纪鼎利,300050.SZ
300051,琏升科技,300051.SZ
300052,中青宝,300052.SZ
300053,航宇微,300053.SZ
300054,鼎龙股份,300054.SZ
300055,万邦达,300055.SZ
300056,中创环保,300056.SZ
300057,万顺新材,300057.SZ
300058,蓝色光标,300058.SZ
300059,东方财富,300059.SZ
300061,旗天科技,300061.SZ
300062,中能电气,300062.SZ
300063,天龙集团,300063.SZ
300065,海兰信,300065.SZ
300066,三川智慧,300066.SZ
300067,安诺其,300067.SZ
300068,ST南都,300068.SZ
300069,金利华电,300069.SZ
300070,碧水源,300070.SZ
300071,福石控股,300071.SZ
300072,海新能科,300072.SZ
300073,当升科技,300073.SZ
300074,华平股份,300074.SZ
300075,数字政通,300075.SZ
300076,*ST宁视,300076.SZ
300077,国民技术,300077.SZ
300078,思创智联,300078.SZ
300079,数码视讯,300079.SZ
300080,易成新能,300080.SZ
300081,ST恒信,300081.SZ
300082,奥克股份,300082.SZ
300083,创世纪,300083.SZ
300084,海默科技,300084.SZ
300085,银之杰,300085.SZ
300086,康芝药业,300086.SZ
300087,ST荃银,300087.SZ
300088,长信科技,300088.SZ
300091,*ST金灵,300091.SZ
300092,科新机电,300092.SZ
300093,金刚光伏,300093.SZ
300094,国联水产,300094.SZ
300095,华伍股份,300095.SZ
300096,ST易联众,300096.SZ
300097,智云股份,300097.SZ
300098,高新兴,300098.SZ
300099,尤洛卡,300099.SZ
300100,双林股份,300100.SZ
300101,振芯科技,300101.SZ
300102,乾照光电,300102.SZ
300103,达刚控股,300103.SZ
300105,龙源技术,300105.SZ
300106,西部牧业,300106.SZ
300107,建新股份,300107.SZ
300109,新开源,300109.SZ
300110,华仁药业,300110.SZ
300111,向日葵,300111.SZ
300112,万讯自控,300112.SZ
300113,顺网科技,300113.SZ
300115,长盈精密,300115.SZ
300118,东方日升,300118.SZ
300119,瑞普生物,300119.SZ
300120,经纬辉开,300120.SZ
300121,阳谷华泰,300121.SZ
300122,智飞生物,300122.SZ
300123,ST亚光,300123.SZ
300124,汇川技术,300124.SZ
300125,*ST聆达,300125.SZ
300126,锐奇股份,300126.SZ
300127,银河磁体,300127.SZ
300128,锦富技术,300128.SZ
300129,泰胜风能,300129.SZ
300130,新国都,300130.SZ
300131,英唐智控,300131.SZ
300132,青松股份,300132.SZ
300133,华策影视,300133.SZ
300134,大富科技,300134.SZ
300135,宝利国际,300135.SZ
300136,信维通信,300136.SZ
300137,先河环保,300137.SZ
300138,晨光生物,300138.SZ
300139,晓程科技,300139.SZ
300140,节能环境,300140.SZ
300141,和顺电气,300141.SZ
300142,沃森生物,300142.SZ
300143,盈康生命,300143.SZ
300144,宋城演艺,300144.SZ
300145,南方泵业,300145.SZ
300146,汤臣倍健,300146.SZ
300147,*ST香雪,300147.SZ
300148,天舟文化,300148.SZ
300149,睿智医药,300149.SZ
300150,世纪瑞尔,300150.SZ
300151,昌红科技,300151.SZ
300152,*ST动力,300152.SZ
300153,科泰电源,300153.SZ
300154,瑞凌股份,300154.SZ
300155,安居宝,300155.SZ
300157,新锦动力,300157.SZ
300158,振东制药,300158.SZ
300159,新研股份,300159.SZ
300160,秀强股份,300160.SZ
300161,华中数控,300161.SZ
300162,雷曼光电,300162.SZ
300163,先锋新材,300163.SZ
300164,通源石油,300164.SZ
300165,天瑞仪器,300165.SZ
300166,东方国信,300166.SZ
300167,ST迪威迅,300167.SZ
300168,万达信息,300168.SZ
300169,天晟新材,300169.SZ
300170,汉得信息,300170.SZ
300171,东富龙,300171.SZ
300172,中电环保,300172.SZ
300173,ST福能,300173.SZ
300174,元力股份,300174.SZ
300175,朗源股份,300175.SZ
300176,鸿特科技,300176.SZ
300177,中海达,300177.SZ
300179,四方达,300179.SZ
300180,华峰超纤,300180.SZ
300181,佐力药业,300181.SZ
300182,捷成股份,300182.SZ
300183,东软载波,300183.SZ
300184,力源信息,300184.SZ
300185,通裕重工,300185.SZ
300187,永清环保,300187.SZ
300188,国投智能,300188.SZ
300189,神农种业,300189.SZ
300190,维尔利,300190.SZ
300191,潜能恒信,300191.SZ
300192,科德教育,300192.SZ
300193,佳士科技,300193.SZ
300194,福安药业,300194.SZ
300195,长荣股份,300195.SZ
300196,长海股份,300196.SZ
300197,节能铁汉,300197.SZ
300198,*ST纳川,300198.SZ
300199,翰宇药业,300199.SZ
300200,高盟新材,300200.SZ
300201,海伦哲,300201.SZ
300203,聚光科技,300203.SZ
300204,舒泰神,300204.SZ
300205,*ST天喻,300205.SZ
300206,理邦仪器,300206.SZ
300207,欣旺达,300207.SZ
300209,行云科技,300209.SZ
300210,森远股份,300210.SZ
300211,*ST亿通,300211.SZ
300212,*ST易录,300212.SZ
300213,佳讯飞鸿,300213.SZ
300214,日科化学,300214.SZ
300215,电科院,300215.SZ
300217,东方电热,300217.SZ
300218,安利股份,300218.SZ
300219,鸿利智汇,300219.SZ
300220,金运激光,300220.SZ
300221,银禧科技,300221.SZ
300222,科大智能,300222.SZ
300223,北京君正,300223.SZ
300224,正海磁材,300224.SZ
300225,金力泰,300225.SZ
300226,上海钢联,300226.SZ
300227,光韵达,300227.SZ
300228,富瑞特装,300228.SZ
300229,拓尔思,300229.SZ
300230,永利股份,300230.SZ
300231,银信科技,300231.SZ
300232,洲明科技,300232.SZ
300233,金城医药,300233.SZ
300234,开尔新材,300234.SZ
300235,方直科技,300235.SZ
300236,上海新阳,300236.SZ
300237,ST美晨,300237.SZ
300238,冠昊生物,300238.SZ
300239,东宝生物,300239.SZ
300240,飞力达,300240.SZ
300241,瑞丰光电,300241.SZ
300242,佳云科技,300242.SZ
300243,瑞丰高材,300243.SZ
300244,迪安诊断,300244.SZ
300245,ST天玑,300245.SZ
300246,宝莱特,300246.SZ
300247,融捷健康,300247.SZ
300248,新开普,300248.SZ
300249,依米康,300249.SZ
300250,初灵信息,300250.SZ
300251,光线传媒,300251.SZ
300252,金信诺,300252.SZ
300253,卫宁健康,300253.SZ
300254,仟源医药,300254.SZ
300255,常山药业,300255.SZ
300256,星星科技,300256.SZ
300257,开山股份,300257.SZ
300258,精锻科技,300258.SZ
300259,新天科技,300259.SZ
300260,新莱应材,300260.SZ
300261,雅本化学,300261.SZ
300263,隆华科技,300263.SZ
300264,佳创视讯,300264.SZ
300265,通光线缆,300265.SZ
300266,兴源环境,300266.SZ
300267,尔康制药,300267.SZ
300268,佳沃食品,300268.SZ
300269,联建光电,300269.SZ
300270,中威电子,300270.SZ
300271,华宇软件,300271.SZ
300272,开能健康,300272.SZ
300274,阳光电源,300274.SZ
