代码,名称,alphafeed_symbol
000668,荣丰控股,000668.SZ
000669,ST金鸿,000669.SZ
000670,盈方微,000670.SZ
000672,上峰材料,000672.SZ
000676,智度股份,000676.SZ
000677,ST海龙,000677.SZ
000678,襄阳轴承,000678.SZ
000679,大连友谊,000679.SZ
000680,山推股份,000680.SZ
000681,视觉中国,000681.SZ
000682,东方电子,000682.SZ
000683,博源化工,000683.SZ
000685,中山公用,000685.SZ
000686,东北证券,000686.SZ
000688,国城矿业,000688.SZ
000690,宝新能源,000690.SZ
000691,亚太实业,000691.SZ
000692,惠天热电,000692.SZ
000695,滨海能源,000695.SZ
000697,炼石航空,000697.SZ
000698,ST沈化,000698.SZ
000700,模塑科技,000700.SZ
000701,厦门信达,000701.SZ
000702,正虹科技,000702.SZ
000703,恒逸石化,000703.SZ
000705,浙江震元,000705.SZ
000707,双环科技,000707.SZ
000708,中信特钢,000708.SZ
000709,河钢股份,000709.SZ
000710,贝瑞基因,000710.SZ
000711,ST京蓝,000711.SZ
000712,锦龙股份,000712.SZ
000713,国投丰乐,000713.SZ
000715,中兴商业,000715.SZ
000716,黑芝麻,000716.SZ
000717,中南股份,000717.SZ
000718,苏宁环球,000718.SZ
000719,中原传媒,000719.SZ
000720,新能泰山,000720.SZ
000721,西安饮食,000721.SZ
000722,湖南发展,000722.SZ
000723,美锦能源,000723.SZ
000725,京东方Ａ,000725.SZ
000726,鲁 泰Ａ,000726.SZ
000727,冠捷科技,000727.SZ
000728,国元证券,000728.SZ
000729,燕京啤酒,000729.SZ
000731,四川美丰,000731.SZ
000733,振华科技,000733.SZ
000735,罗 牛 山,000735.SZ
000736,中交发展,000736.SZ
000737,北方铜业,000737.SZ
000738,航发控制,000738.SZ
000739,普洛药业,000739.SZ
000750,国海证券,000750.SZ
000751,锌业股份,000751.SZ
000752,*ST西发,000752.SZ
000753,漳州发展,000753.SZ
000755,山西高速,000755.SZ
000756,新华制药,000756.SZ
000757,浩物股份,000757.SZ
000758,中色股份,000758.SZ
000759,中百集团,000759.SZ
000761,本钢板材,000761.SZ
000762,西藏矿业,000762.SZ
000766,通化金马,000766.SZ
000767,晋控电力,000767.SZ
000768,中航西飞,000768.SZ
000776,广发证券,000776.SZ
000777,中核科技,000777.SZ
000778,新兴铸管,000778.SZ
000779,甘咨询,000779.SZ
000782,恒申新材,000782.SZ
000783,长江证券,000783.SZ
000785,居然智家,000785.SZ
000786,北新建材,000786.SZ
000788,北大医药,000788.SZ
000789,万年青,000789.SZ
000790,华神科技,000790.SZ
000791,甘肃能源,000791.SZ
000792,盐湖股份,000792.SZ
000793,*ST华闻,000793.SZ
000795,英洛华,000795.SZ
000796,凯撒旅业,000796.SZ
000797,中国武夷,000797.SZ
000798,中水渔业,000798.SZ
000799,酒鬼酒,000799.SZ
000800,一汽解放,000800.SZ
000801,四川九洲,000801.SZ
000802,北京文化,000802.SZ
000803,山高环能,000803.SZ
000807,云铝股份,000807.SZ
000809,和展能源,000809.SZ
000810,创维数字,000810.SZ
000811,冰轮环境,000811.SZ
000812,陕西金叶,000812.SZ
000813,德展健康,000813.SZ
000815,美利云,000815.SZ
000816,智慧农业,000816.SZ
000818,航锦科技,000818.SZ
000819,岳阳兴长,000819.SZ
000820,神雾节能,000820.SZ
000821,ST京机,000821.SZ
000822,山东海化,000822.SZ
000823,超声电子,000823.SZ
000825,太钢不锈,000825.SZ
000826,*ST启环,000826.SZ
000828,东莞控股,000828.SZ
000829,天音控股,000829.SZ
000830,鲁西化工,000830.SZ
000831,中国稀土,000831.SZ
000833,粤桂股份,000833.SZ
000837,秦川机床,000837.SZ
000838,*ST发展,000838.SZ
000839,国安股份,000839.SZ
000848,承德露露,000848.SZ
000850,华茂股份,000850.SZ
000852,石化机械,000852.SZ
000856,冀东装备,000856.SZ
000858,五 粮 液,000858.SZ
000859,国风新材,000859.SZ
000860,顺鑫农业,000860.SZ
000862,银星能源,000862.SZ
000863,三湘印象,000863.SZ
000868,安凯客车,000868.SZ
000869,张 裕Ａ,000869.SZ
000875,电投绿能,000875.SZ
000876,新 希 望,000876.SZ
000877,天山股份,000877.SZ
000878,云南铜业,000878.SZ
000880,潍柴重机,000880.SZ
000881,中广核技,000881.SZ
000882,华联股份,000882.SZ
000883,湖北能源,000883.SZ
000885,城发环境,000885.SZ
000886,海南高速,000886.SZ
000887,中鼎股份,000887.SZ
000888,峨眉山Ａ,000888.SZ
000889,中嘉博创,000889.SZ
000890,法尔胜,000890.SZ
000892,欢瑞世纪,000892.SZ
000893,亚钾国际,000893.SZ
000895,双汇发展,000895.SZ
000897,津滨发展,000897.SZ
000898,鞍钢股份,000898.SZ
000899,赣能股份,000899.SZ
000900,现代投资,000900.SZ
000901,航天科技,000901.SZ
000902,新洋丰,000902.SZ
000903,ST云动,000903.SZ
000905,厦门港务,000905.SZ
000906,浙商中拓,000906.SZ
000908,石药景峰,000908.SZ
000909,*ST数源,000909.SZ
000910,大亚圣象,000910.SZ
000911,*ST广糖,000911.SZ
000912,泸天化,000912.SZ
000913,钱江摩托,000913.SZ
000915,华特达因,000915.SZ
000917,电广传媒,000917.SZ
000919,金陵药业,000919.SZ
000920,沃顿科技,000920.SZ
000921,海信家电,000921.SZ
000922,佳电股份,000922.SZ
000923,河钢资源,000923.SZ
000925,众合科技,000925.SZ
000926,福星股份,000926.SZ
000927,中国铁物,000927.SZ
000928,中钢国际,000928.SZ
000929,兰州黄河,000929.SZ
000930,中粮科技,000930.SZ
000931,中 关 村,000931.SZ
000932,华菱钢铁,000932.SZ
000933,神火股份,000933.SZ
000935,四川双马,000935.SZ
000936,华西股份,000936.SZ
000937,冀中能源,000937.SZ
000938,紫光股份,000938.SZ
000948,南天信息,000948.SZ
000949,新乡化纤,000949.SZ
000950,重药控股,000950.SZ
000951,中国重汽,000951.SZ
000952,广济药业,000952.SZ
000953,中哲精化,000953.SZ
000955,欣龙控股,000955.SZ
000957,中通客车,000957.SZ
000958,电投产融,000958.SZ
000959,首钢股份,000959.SZ
000960,锡业股份,000960.SZ
000962,东方钽业,000962.SZ
000963,华东医药,000963.SZ
000965,天保基建,000965.SZ
000966,长源电力,000966.SZ
000967,盈峰环境,000967.SZ
000968,蓝焰控股,000968.SZ
000969,安泰科技,000969.SZ
000970,中科三环,000970.SZ
000972,中基健康,000972.SZ
000973,佛塑科技,000973.SZ
000975,山金国际,000975.SZ
000977,浪潮信息,000977.SZ
000978,桂林旅游,000978.SZ
000980,众泰汽车,000980.SZ
000981,山子高科,000981.SZ
000983,山西焦煤,000983.SZ
000985,大庆华科,000985.SZ
000987,越秀资本,000987.SZ
000988,华工科技,000988.SZ
000989,九芝堂,000989.SZ
000990,诚志股份,000990.SZ
000993,闽东电力,000993.SZ
000995,皇台酒业,000995.SZ
000997,新 大 陆,000997.SZ
000998,隆平高科,000998.SZ
000999,华润三九,000999.SZ
001201,东瑞股份,001201.SZ
001202,炬申股份,001202.SZ
001203,大中矿业,001203.SZ
001205,盛航股份,001205.SZ
001206,依依股份,001206.SZ
001207,联科科技,001207.SZ
001208,华菱线缆,001208.SZ
001209,洪兴股份,001209.SZ
001210,金房能源,001210.SZ
001211,双枪科技,001211.SZ
001212,中旗新材,001212.SZ
001213,中铁特货,001213.SZ
001215,千味央厨,001215.SZ
001216,华瓷股份,001216.SZ
001217,华尔泰,001217.SZ
001218,丽臣实业,001218.SZ
001219,青岛食品,001219.SZ
